0,0,volt,time,,,,,,
1.480938416,303,1.480938416,2.976198828,,,,,,
1.485826002,304,1.485826002,2.980908003,,,,,,
1.598240469,327,1.598240469,2.985617178,,,,,,
1.603128055,328,1.603128055,2.990326353,,,,,,
1.583577713,324,1.583577713,2.995035528,,,,,,
1.534701857,314,1.534701857,2.999744703,,,,,,
1.490713587,305,1.490713587,3.004453878,,,,,,
1.524926686,312,1.524926686,3.009163053,,,,,,
1.544477028,316,1.544477028,3.013872228,,,,,,
1.520039101,311,1.520039101,3.018581403,,,,,,
1.46627566,300,1.46627566,3.023290578,,,,,,
1.471163245,301,1.471163245,3.027999753,,,,,,
1.495601173,306,1.495601173,3.032708928,,,,,,
1.56402737,320,1.56402737,3.037418103,,,,,,
1.666666667,341,1.666666667,3.042127278,,,,,,
1.656891496,339,1.656891496,3.046836453,,,,,,
1.612903226,330,1.612903226,3.051545628,,,,,,
1.622678397,332,1.622678397,3.056254803,,,,,,
1.549364614,317,1.549364614,3.060963978,,,,,,
1.485826002,304,1.485826002,3.065673153,,,,,,
1.524926686,312,1.524926686,3.070382328,,,,,,
1.534701857,314,1.534701857,3.075091503,,,,,,
1.515151515,310,1.515151515,3.079800678,,,,,,
1.51026393,309,1.51026393,3.084509853,,,,,,
1.56402737,320,1.56402737,3.089219028,,,,,,
1.559139785,319,1.559139785,3.093928203,,,,,,
1.544477028,316,1.544477028,3.098637378,,,,,,
1.603128055,328,1.603128055,3.103346553,,,,,,
1.700879765,348,1.700879765,3.108055728,,,,,,
1.656891496,339,1.656891496,3.112764903,,,,,,
1.485826002,304,1.485826002,3.117474078,,,,,,
1.476050831,302,1.476050831,3.122183253,,,,,,
1.593352884,326,1.593352884,3.126892428,,,,,,
1.661779081,340,1.661779081,3.131601603,,,,,,
1.583577713,324,1.583577713,3.136310778,,,,,,
1.485826002,304,1.485826002,3.141019953,,,,,,
1.495601173,306,1.495601173,3.145729128,,,,,,
1.505376344,308,1.505376344,3.150438303,,,,,,
1.515151515,310,1.515151515,3.155147478,,,,,,
1.578690127,323,1.578690127,3.159856653,,,,,,
1.598240469,327,1.598240469,3.164565828,,,,,,
1.559139785,319,1.559139785,3.169275003,,,,,,
1.539589443,315,1.539589443,3.173984178,,,,,,
1.56402737,320,1.56402737,3.178693353,,,,,,
1.554252199,318,1.554252199,3.183402528,,,,,,
1.559139785,319,1.559139785,3.188111703,,,,,,
1.568914956,321,1.568914956,3.192820878,,,,,,
1.627565982,333,1.627565982,3.197530053,,,,,,
1.583577713,324,1.583577713,3.202239228,,,,,,
1.544477028,316,1.544477028,3.206948403,,,,,,
1.476050831,302,1.476050831,3.211657578,,,,,,
1.461388074,299,1.461388074,3.216366753,,,,,,
1.480938416,303,1.480938416,3.221075928,,,,,,
1.51026393,309,1.51026393,3.225785103,,,,,,
1.524926686,312,1.524926686,3.230494278,,,,,,
1.568914956,321,1.568914956,3.235203453,,,,,,
1.60801564,329,1.60801564,3.239912628,,,,,,
1.583577713,324,1.583577713,3.244621803,,,,,,
1.520039101,311,1.520039101,3.249330978,,,,,,
1.549364614,317,1.549364614,3.254040153,,,,,,
1.573802542,322,1.573802542,3.258749328,,,,,,
1.549364614,317,1.549364614,3.263458503,,,,,,
1.524926686,312,1.524926686,3.268167678,,,,,,
1.51026393,309,1.51026393,3.272876853,,,,,,
1.500488759,307,1.500488759,3.277586028,,,,,,
1.515151515,310,1.515151515,3.282295203,,,,,,
1.515151515,310,1.515151515,3.287004378,,,,,,
1.568914956,321,1.568914956,3.291713553,,,,,,
1.578690127,323,1.578690127,3.296422728,,,,,,
1.593352884,326,1.593352884,3.301131903,,,,,,
1.671554252,342,1.671554252,3.305841078,,,,,,
1.686217009,345,1.686217009,3.310550253,,,,,,
1.642228739,336,1.642228739,3.315259428,,,,,,
1.539589443,315,1.539589443,3.319968603,,,,,,
1.529814272,313,1.529814272,3.324677778,,,,,,
1.539589443,315,1.539589443,3.329386953,,,,,,
1.500488759,307,1.500488759,3.334096128,,,,,,
1.451612903,297,1.451612903,3.338805303,,,,,,
